Row Labels,Count of user_session,Sum of price
cowon,5,908.57
cralusso,7,56.1
crane,18,1731.38
crea,1,129.74
creature,2,48.8
creed,370,87826.76
creo,1,86.64
creoceramique,1,118.57
crescina,2,606.96
crest,2,17.34
crockid,257,1738.13
crona,32,2256.48
crosby,139,5898.33
crossstreet,1,180.18
crown,1879,101543.01
crucial,130,9349.41
crunch,6,494.22
crusader,1,200.78
csmedica,1,30.73
cube,92,82694.08
cubicfun,17,178.99
cullmann,10,732.33
cvgaudio,1,75.33
cybermass,1,16.86
cyberpower,10,375.15
cybex,246,119140.7
dab,1,436.68
daesung,6,272.6
daewoo,86,62419.24
daewooelectronics,1,81.08
dahon,23,9507.76
daisy,33,5387.74
daiwa,27,2615.27
dam,115,5077.45
damask,2,139
damper,2,132.71
danau,1,770.64
daneildesch,1,141.57
danielklein,32,1112.25
danke,49,16902.55
dardav,13,3925.48
darina,322,53283.71
dariush,2,193.05
dauscher,6987,1484132.55
davidoff,14,501.83
davita,10,2440.23
daye,2,13.84
dayun,64,81875.84
dbpower,12,800.04
d-clinic,17,504.76
dds,28,6449.8
dearest,1,46.33
decocode,7,87.57
decoroom,183,4799.6
deepcool,346,9216.9
deeper,58,16186.52
deerma,15,331.65
deestone,4,1249.7
defalucy,2,13.9
defender,977,11904.7
defredesign,2,1029.12
dekok,9,158.1
dell,906,806943.98
delmax,101,5244
delonghi,1017,457457.75
delsey,88,9202.43
delta,11,766.09
delux,235,3693.44
deluxe,232,8188.38
demark,10,205.9
demiray,36,3817.08
dendy,1,25.71
denn,93,2776.59
denon,1,505.02
denzel,454,123043.96
deppa,3,77.14
dermacol,175,1508.77
derspur,4,204.88
desatoekorolevstvo,2,33.42
desigual,7,219.8
destra,46,1551.13
deta,41,4914.51
detomaso,1,203.35
deton,1,463.73
deuter,3,723.06
devente,1,55.09
devos,25,1362.68
dewalt,1332,364408.46
dfc,20,3632.56
diamant,217,32645.39
diamond,13,478.14
diamondunion,14,2255.15
dickie,7,179.26
didistyle,5,177.35
diesel,97,27859.09
dilis,2,20.6
dinastia,9,1242.24
dion,258,7666.47
dior,428,58697.48
dirkje,83,2761.69
disney,151,2107.02
ditreex,5,183.02
divalux,38,30734.26
dji,461,437191.93
